id,title,code,subject,descr,tags,rating
0,Special Topics in AAP,AAP 3099,AAP,No description available.,AAP,5
1,Introduction to Asian American Studies,AAS 1100,AAS,"This interdisciplinary course offers an introduction to the study of Asian/Pacific Islanders in the U.S. This course will examine, through a range of disciplines (including history, literary studies, film/media, performance, anthropology, sociology), issues and methods that have emerged from Asian American Studies since its inception in the late 1960s, including the types of research questions and methods that the study of Asians & Pacific Islander peoples in the U.S. as well as politics and historical relations in the Asia/Pacific region have to offer. In this course, we will pay particular attention to the role of culture and its production in documenting histories, formulating critical practices, and galvanizing political efforts. Topics and themes include: war & empire; queer & feminist lives and histories; refugee, adoptees, transnational families, and other forms of kinship & belonging; anti-Asian violence; settler colonialism and postcolonial critique.",CA-AS|ALC-AS|SCD-AS|AAS,5
2,Jim Crow and Exclusion Era in America,AAS 2042,AAS,"This seminar examines America during the overlapping eras of segregation & immigration exclusion.  Beginning with contests over the weaning of freedom during reconstruction and running through the institution of Jim Crow legislation and immigration exclusion, the course ends with an evaluation of mid-20th century movements for civil rights and equality.  Themes include the links between racial and economic oppression, legal and defacto restriction, everyday resistance, and struggles for equality.",HA-AS|HST-AS|SCD-AS|AAS,5
3,Asians in the Americas: A Comparative Perspective,AAS 3030,AAS,"The common perception of ethnicity is that it is a natural and an inevitable consequence of cultural difference. Asians overseas, in particular, have won repute as a people who cling tenaciously to their culture and refuse to assimilate into their host societies and cultures. But, who are the Asians? On what basis can we label Asians an ethnic group? Although there is a significant Asian presence in the Caribbean, the category Asian itself does not exist in the Caribbean. What does this say about the nature of categories that label and demarcate groups of people on the basis of alleged cultural and phenotypical characteristics? This course will examine the dynamics behind group identity, namely ethnicity, by comparing and contrasting the multicultural experience of Asian populations in the Caribbean and the United States. Ethnographic case studies will focus on the East Indian and Chinese experiences in the Caribbean and the Chinese, Korean, Japanese, Filipino, and Indian experiences in the United States.",CA-AS|GLC-AS|AAS,5
4,Independent Study,AAS 4950,AAS,Independent reading course in topics not covered in regularly scheduled courses. Students select a topic in consultation with the faculty member who has agreed to supervise the course work.,AAS,5
5,Introduction to Business Management,AEM 1200,AEM,"Provides an overview of management and business. Human resource, marketing, finance, and strategy concerns are addressed with consideration paid to current issues such as technological innovation and its impact on operations, globalization, ethics, teamwork, leadership, and entrepreneurship. Opportunity to deliver an integrative group project.",AEM,5
6,An Introduction to the Economics of Environmental and Natural Resources,AEM 1500,AEM,"This course provides an introduction to the economic foundations for public decision-making regarding environmental quality and natural resources. Emphasis is placed on how basic tools of economic analysis can be used to identify sources of environmental problems and solutions to these problems. Topics to be covered include ""individual hand"" concepts underlying market success, market failure with particular focus on public goods and externalities, benefit-cost analysis and non-market valuation, incentive-based policies for controlling pollution, and economic aspects of renewable and non-renewable resources.",SBA-AG|AEM,5
7,Foundations of Leadership Development,AEM 1700,AEM,"Dyson Leadership Development provides a rich, varied, curricular and co-curricular experience for students to equip, inspire and empower students to have the capacity to lead in their communities on a local, national and global scale. Leadership is a personal, relational, and collective learning journey for achieving goals that result in positive change. The basic premise of Leadership in Dyson is leading for a better world. The foundations of this course include self-awareness, personal development, self-management, team building, networking, and community engagement. This introductory course is geared towards students in the Leadership minor.",AEM,5
8,Contemporary Controversies in the Global Economy,AEM 2000,AEM,"This course aims to stimulate critical thinking, economic reasoning, and cogent writing about contemporary controversies that attract regular attention in the international press and among key private and public sector decision-makers. Students read and discuss competing arguments about current issues such as morally questionable market exchange among willing buyres and sellers, immigration policy, foreign aid, sovereign debt forgiveness, regulating genetically modified foods, etc. Students write, edit, and rewrite short briefing papers which are evaluated for quality of communication as well as subject matter content.",AEM,5
9,Spreadsheet Modeling for Management and Economics,AEM 2010,AEM,"This course will be developed as a data-driven, model-based approach to decision-making. Most applications will rely on the standard array of Excel functionality but other platforms (e.g., Access, SQL, presentation software) may be employed. A unique feature of this course will be applications drawn from the diverse program areas of the Dyson School: management; international development/trade; environment/resource economics; and food/agricultural economics. Case material will be contributed by the companies from the DUAC. Key topics will include: Optimization (Solver), Data graphing, Financial modeling, Ethical/social dimensions of IT, Forecasting, Pivot tables, Exponential smoothing, and Simulation.",AEM,5
